arabic,arabic_romanization,hebrew,hebrew_romanization,layers
ז־נ־ח,,نزح,,direct_cognate_he→ar
זבוב,,ذباب,,direct_cognate_ar→he;direct_cognate_he→ar
זבח,,ذبح,,direct_cognate_ar→he
זבל,,زبالة,,direct_cognate_he→ar
זבל,,زبل,,direct_cognate_ar→he;direct_cognate_he→ar
זה,,ذا,,direct_cognate_ar→he;direct_cognate_he→ar
זה,,ذو,,direct_cognate_ar→he
זה,,هذا,,direct_cognate_he→ar
זהב,,ذهب,,direct_cognate_ar→he;direct_cognate_he→ar
זו,,زي,,direct_cognate_ar→he
זוג,,زوج,,direct_cognate_he→ar
זווית,,زاوية,,direct_cognate_he→ar
זוועה,,زعزع,,direct_cognate_he→ar
זולת,,زول,,direct_cognate_ar→he;direct_cognate_he→ar
זונה,,زانية,,direct_cognate_he→ar
זחל,,زحل,,direct_cognate_ar→he
זיז,,بز,,direct_cognate_ar→he
זית,,زيت,,direct_cognate_he→ar
זכוכית,,زجاج,,direct_cognate_he→ar
זכוכית,,زجاجة,,direct_cognate_ar→he
זכות,,زكوة,,direct_cognate_he→ar
זכר,,ذكر,,direct_cognate_ar→he;direct_cognate_he→ar
זמם,,زمام,,direct_cognate_he→ar
זנב,,ذنب,,direct_cognate_he→ar
זנה,,زنى,,direct_cognate_ar→he;direct_cognate_he→ar
זנח,,نزح,,direct_cognate_ar→he;direct_cognate_he→ar
זעזע,,زعزع,,direct_cognate_ar→he;direct_cognate_he→ar
זעיר,,أزعر,,direct_cognate_he→ar
זעם,,تزغم,,direct_cognate_he→ar
זעף,,زعف,,direct_cognate_he→ar
זעק,,زعق,,direct_cognate_ar→he
זפת,,زفت,,direct_cognate_ar→he;direct_cognate_he→ar
זקן,,ذقن,,direct_cognate_ar→he;direct_cognate_he→ar
זרגון,,زرجون,,direct_cognate_ar→he
זרדים,,زرجون,,direct_cognate_ar→he
זרוע,,ذراع,,direct_cognate_ar→he;direct_cognate_he→ar
זרזיר,,زرزور,,direct_cognate_ar→he
זרע,,زرع,,direct_cognate_ar→he;direct_cognate_he→ar
זרק,,ذ ر ق,,direct_cognate_he→ar
ח־ב־ר,,خبر,,direct_cognate_he→ar
ח־ג־ג,,-,,direct_cognate_he→ar
ח־ד־ש,,-,,direct_cognate_he→ar
ח־ז־ק,,-,,direct_cognate_he→ar
ח־ט־א,,-,,direct_cognate_he→ar
ח־י־ה,,-,,direct_cognate_he→ar
ח־כ־ם,,-,,direct_cognate_he→ar
ח־ל־ם,,-,,direct_cognate_he→ar
ח־מ־ד,,-,,direct_cognate_he→ar
ח־מ־ץ,,ح م ض,,direct_cognate_he→ar
ח־מ־ר,,-,,direct_cognate_he→ar
ח־נ־ך,,ح ن ك,,direct_cognate_he→ar
ח־ש־ב,,-,,direct_cognate_he→ar
ח־ת־ם,,-,,direct_cognate_he→ar
חבוי,,خبأ,,direct_cognate_he→ar
חביב,,حبيب,,direct_cognate_ar→he;direct_cognate_he→ar
חבית,,خابية,,direct_cognate_ar→he;direct_cognate_he→ar
חבל,,حبل,,direct_cognate_he→ar
חבר,,خ ب ر,,direct_cognate_he→ar
חבש,,حبس,,direct_cognate_ar→he
חג,,حج,,direct_cognate_ar→he;direct_cognate_he→ar
חג המולד,,عيد الميلاد,,direct_cognate_he→ar
חגור,,حجر,,direct_cognate_he→ar
חד,,حاد,,direct_cognate_ar→he;direct_cognate_he→ar
חדקל,,دجلة,,direct_cognate_ar→he
חדר,,خدر,,direct_cognate_ar→he;direct_cognate_he→ar
חדש,,حديث,,direct_cognate_ar→he;direct_cognate_he→ar
חדשות,,أحاديث,,direct_cognate_he→ar
חוח,,خوخ,,direct_cognate_ar→he;direct_cognate_he→ar
חוח,,خوخة,,direct_cognate_he→ar
חוטר,,خطر,,direct_cognate_he→ar
חוכמה,,حكمة,,direct_cognate_he→ar
חולד,,حارود,,direct_cognate_ar→he
חולד,,خلد,,direct_cognate_ar→he;direct_cognate_he→ar
חוסן,,حسنة,,direct_cognate_ar→he
חוף,,حافة,,direct_cognate_he→ar
חוצן,,حضن,,direct_cognate_ar→he
חוק,,حج,,direct_cognate_ar→he
חוק,,حق,,direct_cognate_ar→he;direct_cognate_he→ar
חור,,حر,,direct_cognate_he→ar
חור,,خور,,direct_cognate_ar→he
חורבן,,خراب,,direct_cognate_he→ar
חורף,,خريف,,direct_cognate_ar→he;direct_cognate_he→ar
חורש,,حرش,,direct_cognate_he→ar
חורש,,حريش,,direct_cognate_ar→he;direct_cognate_he→ar
חורשף,,خرشوف,,direct_cognate_he→ar
חזיר,,خنزير,,direct_cognate_ar→he;direct_cognate_he→ar
חזר,,خيزران,,direct_cognate_ar→he
חזרן,,خيزران,,direct_cognate_he→ar
חטא,,خطء,,direct_cognate_ar→he
חטא,,خطأ,,direct_cognate_ar→he
חטא,,خطئ,,direct_cognate_ar→he;direct_cognate_he→ar
חטב,,حطب,,direct_cognate_ar→he
חטם,,خطم,,direct_cognate_ar→he
חטף,,خطف,,direct_cognate_ar→he;direct_cognate_he→ar
חי,,حي,,direct_cognate_ar→he
חי,,حيي,,direct_cognate_ar→he
חי העולם,,حي العالم,,direct_cognate_ar→he
חידקל,,دجلة,,direct_cognate_he→ar
חיה,,حيوان,,direct_cognate_ar→he;direct_cognate_he→ar
חיטה,,حنطة,,direct_cognate_ar→he;direct_cognate_he→ar
