date,OpenAI ChatGPT_daily_tokens,OpenAI API_daily_tokens,OpenAI (Inference)_daily_tokens,OpenAI (Revenue)_daily_tokens,Gemini Assistant_daily_tokens,Gemini API_daily_tokens,Meta_daily_tokens,Anthropic_daily_tokens,xAI_daily_tokens,total_daily_tokens
2027-12-01,75258398128648.1,221363338855699.2,23454466706546.61,16338194291716.412,1166223179467.4375,234873568781376.75,559635193712.5105,52770163358395.19,7714757341702.314,409222480515524.3
2028-01-01,86684224334611.4,251571158731402.84,26322110570517.656,18188527991412.766,1274786638616.3447,266925029949192.7,593541513259.7593,63614772837334.86,9392109489027.33,469388914303412.5
2028-02-01,99806182795612.67,285801308948225.94,29531056436653.676,20242481198824.52,1393117409795.1409,303244312007857.2,629400934059.873,76648868489734.4,11428009113871.049,538470717748423.2
2028-03-01,113874193965014.98,322027652637042.7,32886234068628.33,22373406716441.64,1513738391453.969,341681619061847.8,664905668390.8861,91249623002480.56,13730323056801.234,612560704976683.8
2028-04-01,131112076110916.6,365844499446203.0,36895416561217.1,24899940502334.543,1654249615683.7097,388172692226962.4,705076627999.5271,109945851274818.39,16706604327050.738,703435118279405.1
2028-05-01,150274509329188.9,413916451138187.6,41240045451673.76,27616306351884.316,1802634604551.14,439178567502192.9,746261070409.7306,131678659065547.52,20199796376008.12,804621689375687.6
2028-06-01,173022545483482.53,470236191330831.4,46267646601560.69,30734898523568.55,1969962325480.3792,498935609658614.1,791347200280.6978,158658433748289.22,24578446125779.637,925020893038258.5
2028-07-01,198310322715214.1,532025206903560.1,51715904755389.92,34087807287787.156,2146666515080.475,564495727580919.4,837570818965.8118,190020174141848.22,29717565416662.934,1059264118360793.9
2028-08-01,228329854377768.06,604415471524033.0,58020624824614.555,37937198571427.04,2345928647658.8975,641304109150923.8,888173521179.9135,228953601318953.44,36159353638333.16,1219218882709663.2
2028-09-01,262893639052067.34,686655552175679.5,65093957477150.49,42221285261840.26,2563687084717.817,728563459951157.4,941833437677.883,275864138077326.5,43997509123327.92,1404218772329787.0
2028-10-01,301316353048160.9,776882062573374.4,72759112518296.22,46827258412603.79,2793647953935.367,824296667650969.8,996847153114.8876,330393728959332.25,53196969769839.336,1610939457004670.0
2028-11-01,346928581786068.44,882588892548404.8,81629223929530.17,52115261798929.28,3052965479533.2534,936454988577752.2,1057072698823.7654,398088436872861.56,64728318603002.766,1857802435586284.5
2028-12-01,397633261150470.3,998561035551290.0,91241493356069.83,57800581303130.47,3326814265351.0264,1059505134311540.9,1118817689310.4717,476777895201494.3,78262394317058.72,2134069846238409.0
2029-01-01,457825610745569.6,1134430721170067.0,102364804009318.77,64327755432553.11,3635622410700.66,1203667207920706.0,1186412210373.1235,574465404153170.6,95227100639490.23,2464498044453609.5
2029-02-01,527333280202948.8,1289238102842733.5,114880364724326.92,71613004437274.83,3974061700893.119,1367922781563196.2,1258292735350.139,692521755900493.2,115931495433317.8,2849296638069012.0
2029-03-01,599142027383295.2,1447144774145101.0,127494965205827.03,78899880022510.0,4306748908288.5874,1535466800436852.8,1326953087613.9272,819875382696727.4,138475787116979.0,3250345554498706.0
2029-04-01,690104535858264.0,1644625932938347.5,143083047392265.34,87835451744905.27,4707663216461.064,1745000613816345.8,1407348487900.499,988365070446648.8,168583365176280.3,3763280383788230.5
2029-05-01,791261098683918.9,1861359181007200.2,159980612500470.06,97445170465948.67,5131144646212.591,1974961508473317.0,1489785233136.0095,1184318623023235.8,203938601954142.94,4339855017549223.0
2029-06-01,911391370147409.8,2115365120538617.0,179540529489043.16,108481034011604.72,5608801772218.795,2244469918573242.0,1580046057935.8015,1427703751056561.8,248279186726801.78,5032567722248985.0
2029-07-01,1044984490613848.5,2394133650357503.5,200743584930644.9,120349501728376.77,6113345807015.857,2540252227427831.0,1672598723788.388,1710760721008838.0,300348199731668.6,5812550835242601.0
2029-08-01,1203635371772266.0,2720843386677054.5,225287358053281.56,133979327326826.39,6682435822947.615,2886901686736074.5,1773935572221.5173,2062333101129177.2,365650279298301.9,6751256586501866.0
2029-09-01,1386372832510541.0,3092136787652326.0,252831958322246.6,149152758367603.34,7304502303235.791,3280855837422628.0,1881412062342.0415,2486155876613236.5,445150418315956.3,7848179492334970.0
2029-10-01,1589589451507574.8,3499626926314879.0,282690453476271.4,165470953651019.12,7961584370657.551,3713215882250474.5,1991617521899.3142,2979061879514944.0,538507188272875.06,9086530746914098.0
2029-11-01,1830922953992056.0,3977195164889363.5,317253402805157.8,184210875358071.4,8702726507773.331,4219931028084738.5,2112282592416.8564,3591278341259057.5,655590091673716.5,1.0580808602465918e+16
2029-12-01,2099302399715650.2,4501320687312977.0,354719826168497.0,204364636309793.97,9485586898332.348,4776044938262454.0,2236011507773.6606,4303286252409914.5,793080186833333.2,1.227070215908078e+16
2030-01-01,2418021173558138.5,5115582674993640.0,398089396053326.3,227509346602651.88,10368598095392.21,5427796515371379.0,2371483546604.8115,5187639377613022.0,965512668564804.4,1.4313422840260454e+16
